ip;int;mac;exp;vrf
10.4.92.8;Vlan992;1c:bb:a8:01:51:11;1;IP-TV
10.4.92.9;Vlan992;e4:27:71:55:f7:d1;216;IP-TV
10.4.92.12;Vlan992;e4:27:71:0a:2b:55;1;IP-TV
10.4.92.13;Vlan992;00:1a:79:09:98:e8;0;IP-TV
10.4.92.15;Vlan992;e4:27:71:13:d6:06;191;IP-TV
10.4.92.32;Vlan992;00:1a:79:13:3e:d1;2;IP-TV
10.4.92.35;Vlan992;e4:27:71:00:41:9a;4;IP-TV
10.4.92.42;Vlan992;e4:27:71:65:b7:2c;214;IP-TV
10.4.92.45;Vlan992;00:1a:79:12:ee:75;6;IP-TV
10.4.92.55;Vlan992;e4:27:71:40:75:89;3;IP-TV
10.4.92.56;Vlan992;ec:4c:4d:f0:06:65;1;IP-TV
10.4.92.60;Vlan992;e4:27:71:20:20:6a;7;IP-TV
10.4.92.64;Vlan992;e4:27:71:57:f7:65;3;IP-TV
10.4.92.70;Vlan992;e4:27:71:00:88:bf;2;IP-TV
10.4.92.77;Vlan992;e4:27:71:01:ba:ac;7;IP-TV
10.4.92.79;Vlan992;ec:4c:4d:6b:2c:7f;107;IP-TV
10.4.92.85;Vlan992;e4:27:71:67:c3:41;180;IP-TV
10.4.92.90;Vlan992;ec:4c:4d:f2:b4:c5;2;IP-TV
10.4.92.91;Vlan992;1c:bb:a8:06:1c:6f;2;IP-TV
10.4.92.98;Vlan992;e4:27:71:16:fc:a5;1;IP-TV
10.4.92.100;Vlan992;1c:bb:a8:1a:ac:66;34;IP-TV
10.4.92.104;Vlan992;1c:bb:a8:1a:86:e2;105;IP-TV
10.4.92.108;Vlan992;e4:27:71:5c:96:7e;1;IP-TV
10.4.92.113;Vlan992;e4:27:71:40:68:2e;39;IP-TV
10.4.92.114;Vlan992;1c:bb:a8:0c:53:54;3;IP-TV
10.4.92.117;Vlan992;1c:bb:a8:16:f1:af;122;IP-TV
10.4.92.120;Vlan992;e4:27:71:09:57:a8;0;IP-TV
10.4.92.125;Vlan992;e4:27:71:5f:dc:fa;49;IP-TV
10.4.92.128;Vlan992;e4:27:71:4f:13:3b;2;IP-TV
10.4.92.132;Vlan992;e4:27:71:5c:6a:09;3;IP-TV
10.4.92.137;Vlan992;5c:e3:0e:95:dd:b7;4;IP-TV
10.4.92.139;Vlan992;e4:27:71:1f:5e:eb;0;IP-TV
10.4.92.140;Vlan992;e4:27:71:00:5e:30;30;IP-TV
10.4.92.142;Vlan992;e4:27:71:13:c0:80;3;IP-TV
10.4.92.145;Vlan992;e4:27:71:40:6a:6a;101;IP-TV
10.4.92.149;Vlan992;00:07:67:b2:1e:91;4;IP-TV
10.4.92.153;Vlan992;e4:27:71:44:ed:a3;167;IP-TV
10.4.92.161;Vlan992;00:02:9b:92:d5:ea;2;IP-TV
10.4.92.165;Vlan992;ec:4c:4d:6b:31:b2;249;IP-TV
10.4.92.172;Vlan992;00:02:9b:93:ce:ec;2;IP-TV
10.4.92.174;Vlan992;e4:27:71:03:ab:5d;19;IP-TV
10.4.92.178;Vlan992;e4:27:71:5b:96:ab;17;IP-TV
10.4.92.181;Vlan992;e4:27:71:11:81:39;162;IP-TV
10.4.92.184;Vlan992;e4:27:71:62:5e:29;34;IP-TV
10.4.92.188;Vlan992;e4:27:71:1f:11:6e;30;IP-TV
10.4.92.189;Vlan992;ec:4c:4d:66:c9:3d;53;IP-TV
10.4.92.200;Vlan992;e4:27:71:60:28:53;36;IP-TV
10.4.92.201;Vlan992;e4:27:71:0c:65:e2;4;IP-TV
10.4.92.202;Vlan992;e4:27:71:67:bc:30;212;IP-TV
10.4.92.203;Vlan992;00:1a:79:24:1c:46;33;IP-TV
10.4.92.212;Vlan992;e4:27:71:5d:0b:c9;191;IP-TV
10.4.92.215;Vlan992;1c:bb:a8:05:aa:38;27;IP-TV
10.4.92.220;Vlan992;e4:27:71:25:33:30;4;IP-TV
10.4.92.221;Vlan992;5c:e3:0e:96:9f:aa;0;IP-TV
10.4.92.228;Vlan992;bc:64:4b:76:74:a9;0;IP-TV
10.4.92.234;Vlan992;1c:bb:a8:19:bf:8f;2;IP-TV
10.4.92.238;Vlan992;e4:27:71:0c:72:84;182;IP-TV
